rubrique;partie;intitule_officiel;support_cours;statut_declare_notion
1.1;1. La valeur;La valeur en finance;F1 (INTEC Cours 1 « La valeur ») ch.4 p.98, 102;I
1.2;1. La valeur;La valeur et le risque;F1 ch.3 IV p.84;A
1.3;1. La valeur;La valeur et la performance;"F1 ch.2 p.50, ch.3 p.69 ; F2 p.74";A
2.1;2. Le diagnostic financier approfondi;Analyse financière des comptes consolidés;F4 (INTEC Cours 4) ch.1 p.9-33;A
2.2;2. Le diagnostic financier approfondi;Analyse extra-financière;F4 ch.2 p.38-49;A
3.1;3. L'évaluation;Évaluation par les flux;F2 (INTEC Cours 2) ch.2 p.67-74;A
3.2;3. L'évaluation;Évaluation par approche comparative;F2 ch.3 p.76-78;A
3.3;3. L'évaluation;Autres évaluations particulières et spécifiques;F2 ch.4 p.82-87, ch.5 p.90-91;I
4.1;4. Investissement et financement;Investissement et désinvestissement;F2 ch.1 p.9-31;A
4.2;4. Investissement et financement;Modalités de financement;F2 ch.2 p.43-46;A
4.3;4. Investissement et financement;Le choix d'une structure de financement;F2 ch.2 III p.59;A
5.1;5. La trésorerie;Gestion des flux de trésorerie au sein d'un groupe;F4 partie 6 ch.1 p.53-61;I
5.2;5. La trésorerie;La gestion des risques;F4 partie 6 ch.2 p.64-95;A
5.3;5. La trésorerie;Fraude et blanchiment des capitaux;F4 partie 6 ch.3 p.114-116;I
6.1;6. L'ingénierie financière;La politique de dividende;F3 (INTEC Cours 3) ch.1 p.9-24;I
6.2;6. L'ingénierie financière;La gestion de la valeur de l'action;F3 ch.2 p.27-54;I
6.3;6. L'ingénierie financière;Les fusions et acquisitions;F3 ch.3 p.61-70;U (limité)
6.4;6. L'ingénierie financière;Les opérations sur les dettes et sur les créances;F3 ch.4 p.90-91;I
6.5;6. L'ingénierie financière;Les innovations financières;F3 ch.5 p.92-94;I
