rubrique;intitule;IPR_reference;rang_reference;rang_min;rang_max;nb_scenarios_premier_tiers_(rang<=5);rang_référence;rang_égalitaire;rang_fréquences seules;rang_jury renforcé;rang_récence renforcée;rang_sans « gap »;rang_poids du barème renforcé
2.1;Analyse et choix stratégiques;74.8;1;1;2;7/7;1;1;2;1;2;1;1
2.5;La planification et le diagnostic stratégique;73.2;2;1;2;7/7;2;2;1;2;1;2;2
4.1;La gestion des ressources humaines;64.4;3;3;4;7/7;3;3;4;3;3;3;3
4.2;La gestion des compétences;55.3;4;4;5;7/7;4;4;5;4;4;4;4
2.4;La gestion du périmètre de l'entité;43.4;5;3;7;5/7;5;5;3;7;5;5;6
2.3;Approche du marketing stratégique;43.0;6;5;7;1/7;6;7;7;6;6;6;5
1.2;Le positionnement du contrôle de gestion et l'identification du métier comme aide à la stratégie;40.3;7;5;8;1/7;7;8;8;5;7;7;8
2.6;Analyse des parties prenantes et structures de gouvernance;37.3;8;6;9;0/7;8;9;6;8;8;8;7
3.3;Le contrôle de gestion et le pilotage stratégique;32.0;9;6;10;0/7;9;6;10;9;10;10;9
3.2;Management et pilotage par les processus;28.1;10;9;10;0/7;10;10;9;10;9;9;10
3.1;Le management du changement;19.2;11;11;12;0/7;11;11;12;11;11;11;11
1.1;Évolution des modèles d'organisation;15.8;12;11;14;0/7;12;13;11;13;14;12;12
2.2;Place et rôle du contrôle de gestion stratégique;14.8;13;12;14;0/7;13;12;14;14;13;13;13
2.7;Contrôle de gestion et changement organisationnel;12.6;14;12;15;0/7;14;14;15;12;12;14;14
1.3;Le contrôle de gestion et les systèmes d'information et de communication;8.3;15;13;15;0/7;15;15;13;15;15;15;15
