rubrique;partie;intitule;sessions_2016_2025;freq_10;sessions_2020_2025;freq_prog_actuel;freq_5_dernieres;freq_3_dernieres;freq_avec_transversal_2020_2025;nb_dossiers;derniere_apparition;annees_depuis;poids_moyen_par_session_2020_2025;poids_moyen_quand_present;nb_annees_jury;nb_difficultes_jury;transversalite;IPR;categorie;dossiers
2.2;2. Diagnostic approfondi (20 h);Analyse extra-financière;4.0;0.40;4.0;0.67;0.60;0.67;0.83;7;2024;2;0.228;0.342;4;1;13;67.8;PRIORITÉ MAXIMALE;2024 D2, 2024 D3, 2023 D2, 2023 D3, 2022-S2 D2, 2022-S2 D4, 2020 D1
1.2;1. La valeur (20 h);La valeur et le risque;6.0;0.60;4.0;0.67;0.80;1.00;0.83;6;2025;1;0.104;0.156;3;0;12;59.3;PRIORITÉ TRÈS ÉLEVÉE;2025 D1, 2024 D1, 2023 D2, 2021 D1, 2018 D1, 2016 D1
6.3;6. Ingénierie financière (30 h);Les fusions et acquisitions;5.0;0.50;3.0;0.50;0.60;0.67;0.50;5;2025;1;0.121;0.242;2;1;9;51.4;PRIORITÉ TRÈS ÉLEVÉE;2025 D2, 2024 D2, 2021 D2, 2019 D2, 2016 D2
4.2;4. Investissement et financement (30 h);Modalités de financement;5.0;0.50;3.0;0.50;0.40;0.33;0.50;5;2025;1;0.072;0.144;1;2;9;49.4;PRIORITÉ TRÈS ÉLEVÉE;2025 D3, 2021 D1, 2020 D1, 2018 D2, 2017 D1
1.1;1. La valeur (20 h);La valeur en finance;1.0;0.10;1.0;0.17;0.20;0.00;0.67;1;2022;4;0.042;0.250;4;2;7;48.6;PRIORITÉ TRÈS ÉLEVÉE;2022-S2 D3
6.5;6. Ingénierie financière (30 h);Les innovations financières;3.0;0.30;2.0;0.33;0.40;0.33;0.50;3;2025;1;0.037;0.112;4;1;7;45.1;PRIORITÉ TRÈS ÉLEVÉE;2025 D3, 2021 D3, 2018 D2
4.1;4. Investissement et financement (30 h);Investissement et désinvestissement;3.0;0.30;3.0;0.50;0.60;0.67;0.50;3;2025;1;0.094;0.189;2;0;7;42.8;PRIORITÉ ÉLEVÉE;2025 D1, 2023 D1, 2021 D1
3.1;3. Évaluation de l'entreprise (20 h);Évaluation par les flux;5.0;0.50;2.0;0.33;0.40;0.67;0.33;5;2024;2;0.043;0.129;1;1;6;40.1;PRIORITÉ ÉLEVÉE;2024 D1, 2023 D2, 2019 D1, 2017 D1, 2016 D1
5.2;5. La trésorerie (20 h);La gestion des risques;5.0;0.50;3.0;0.50;0.40;0.33;0.50;5;2023;3;0.067;0.133;1;0;5;34.4;PRIORITÉ ÉLEVÉE;2023 D3, 2021 D3, 2020 D2, 2019 D1, 2017 D2
6.1;6. Ingénierie financière (30 h);La politique de dividende;1.0;0.10;1.0;0.17;0.20;0.33;0.33;1;2025;1;0.017;0.100;1;2;5;30.8;PRIORITÉ TRÈS ÉLEVÉE;2025 D3
3.2;3. Évaluation de l'entreprise (20 h);Évaluation par approche comparative;2.0;0.20;2.0;0.33;0.40;0.67;0.33;2;2024;2;0.043;0.129;1;0;6;30.6;À MAÎTRISER;2024 D1, 2023 D2
3.3;3. Évaluation de l'entreprise (20 h);Autres évaluations particulières et spécifiques;1.0;0.10;1.0;0.17;0.00;0.00;0.67;1;2020;6;0.042;0.250;1;0;9;28.8;À MAÎTRISER;2020 D3
2.1;2. Diagnostic approfondi (20 h);Analyse financière des comptes consolidés;4.0;0.40;1.0;0.17;0.20;0.00;0.17;4;2022;4;0.042;0.250;1;0;0;28.1;À MAÎTRISER;2022-S2 D1, 2019 D1, 2018 D1, 2016 D1
1.3;1. La valeur (20 h);La valeur et la performance;1.0;0.10;1.0;0.17;0.00;0.00;0.33;1;2020;6;0.028;0.167;1;0;7;25.6;À MAÎTRISER;2020 D1
5.1;5. La trésorerie (20 h);La gestion des flux de trésorerie au sein d'un groupe;1.0;0.10;1.0;0.17;0.00;0.00;0.17;1;2020;6;0.021;0.125;0;0;2;17.2;COMPLÉMENT;2020 D2
4.3;4. Investissement et financement (30 h);Le choix d'une structure de financement;0;0.00;0;0.00;0.00;0.00;0.33;0;;;0.000;0.000;0;0;9;16.9;COMPLÉMENT;
5.3;5. La trésorerie (20 h);La fraude et le blanchiment des capitaux;0;0.00;0;0.00;0.00;0.00;0.00;0;;;0.000;0.000;1;0;0;12.1;COMPLÉMENT;
6.2;6. Ingénierie financière (30 h);La gestion de la valeur de l'action;1.0;0.10;0;0.00;0.00;0.00;0.17;1;2017;9;0.000;0.000;0;0;3;11.8;COMPLÉMENT;2017 D1
6.4;6. Ingénierie financière (30 h);Les opérations sur les dettes et sur les créances;1.0;0.10;0;0.00;0.00;0.00;0.00;1;2019;7;0.000;0.000;0;0;0;9.5;COMPLÉMENT;2019 D2
